Code,Constituency,Latitude,Longitude,Postcodes,Active Postcodes,MP,Party
E14001221,Edmonton and Winchmore Hill,51.627399,-0.074206,3642,2267,Kate Osamor,Labour
E14001222,Ellesmere Port and Bromborough,53.298801,-2.94118,5758,2574,Justin Madders,Labour
E14001223,Eltham and Chislehurst,51.445301,0.051584,3088,2114,Clive Efford,Labour
E14001224,Ely and East Cambridgeshire,52.323601,0.253493,4033,2557,Charlotte Cane,Liberal Democrat
E14001225,Enfield North,51.657799,-0.064854,3999,2519,Feryal Clark,Labour
E14001226,Epping Forest,51.6632,0.06756,3678,2499,Dr Neil Hudson,Conservative
E14001227,Epsom and Ewell,51.3279,-0.283645,4540,2825,Helen Maguire,Liberal Democrat
E14001228,Erewash,52.931099,-1.29958,2856,2060,Adam Thompson,Labour
E14001229,Erith and Thamesmead,51.489799,0.113645,2999,2089,Ms Abena Oppong-Asare,Labour
E14001230,Esher and Walton,51.383099,-0.379203,4231,2520,Monica Harding,Liberal Democrat
E14001231,Exeter,50.723202,-3.52476,4422,2761,Steve Race,Labour
E14001232,Exmouth and Exeter East,50.684502,-3.42044,4106,3349,David Reed,Conservative
S14000083,Falkirk,55.997101,-3.80593,3284,2585,Euan Stainbank,Labour
E14001233,Fareham and Waterlooville,50.867401,-1.12897,4368,3012,Suella Braverman,Conservative
E14001234,Farnham and Bordon,51.152,-0.792618,4824,3245,Greg Stafford,Conservative
E14001235,Faversham and Mid Kent,51.280899,0.70758,4146,3403,Helen Whately,Conservative
E14001236,Feltham and Heston,51.456299,-0.40299,3147,1936,Seema Malhotra,Labour
N05000007,Fermanagh and South Tyrone,54.369499,-7.42689,6124,5168,Pat Cullen,Sinn Féin
E14001237,Filton and Bradley Stoke,51.520401,-2.54472,4405,2297,Claire Hazelgrove,Labour
E14001238,Finchley and Golders Green,51.585499,-0.193812,5865,2950,Sarah Sackman,Labour
E14001239,Folkestone and Hythe,51.056999,1.09023,4114,2970,Tony Vaughan,Labour
E14001240,Forest of Dean,51.809799,-2.51252,4445,3506,Matt Bishop,Labour
N05000008,Foyle,55.003399,-7.31223,2663,1918,Colum Eastwood,Social Democratic & Labour Party
E14001241,Frome and East Somerset,51.256699,-2.40125,4024,3240,Anna Sabine,Liberal Democrat
E14001242,Fylde,53.777302,-2.9666,3784,2784,Mr Andrew Snowden,Conservative
E14001243,Gainsborough,53.380699,-0.538414,4041,3261,Sir Edward Leigh,Conservative
E14001244,Gateshead Central and Whickham,54.946301,-1.62213,3343,2407,Mark Ferguson,Labour
